Ticker,Company,Market,Price at Analysis,Category,Verdict,Stars,Moat,Quality,Val,Mgmt,AI Overlay,AI Score,Phase,Flywheel,Conditions Met,Horizon,Base IV,MoS Entry Zone,Thesis,Report File,Last Analysis Date
AMD,Advanced Micro Devices,NASDAQ,537.37,B,WATCH★★★,3,B+,B+,C+,A-,🟢 WIDENER,78,3,Forming,3,5-7yr,$334,$267–$340,The only scaled NVIDIA alternative — EPYC + Instinct + Helios captures the AI infra supercycle; Meta 6GW deal + agentic AI CPU TAM revision to $120B = multi-year compounding.,AMD_qv_report.html,2026-05-11
AMZN,Amazon.com,NASDAQ,244.39,B,WATCH★★★★,4,A-,B+,C+,A-,🟢 WIDENER,82,3,Confirmed,0,5-7yr,$225,$195-225,AWS-led AI infrastructure compounder with confirmed data flywheel; near-term FCF compressed by $125B+ capex supercycle but long-duration compounding power intact,amzn_qv_report.html,2026-06-02
ANANDRATHI,Anand Rathi Wealth Limited,NSE,1885,B,WATCH★★★,3,B+,A-,D+,B+,🟢 WIDENER,52,3,Forming,2,7-10yr,"₹1,806 (AI-adjusted)","₹1,850–2,100","India wealth mgmt secular play; ROIC 56%, AUM ₹99,008Cr; but trading 1.69× base IV at ₹3,060 — buy on correction to ₹1,850–2,100",ANANDRATHI_qv_report.html,2026-04-08
ANANTRAJ,Anant Raj Limited,NSE,522.4,B,WATCH★★★★,4,B+,B-,C+,B,🟢 WIDENER,78,3,Forming,0,5-7yr,₹490,₹400–440,"Real estate cash-flow funds $2.1B data center transformation; 320 acres debt-free NCR land = India's scarcest DC input; Level 1 AI infrastructure — WATCH at ₹504, BUY at ₹400–440",ANANTRAJ_qv_report.html,2026-04-16
ANET,Arista Networks,NYSE,169.67,B,WATCH★★★★,4,A,A,C+,A-,🟢 WIDENER,88,3,Confirmed,0,5-7yr,$120-135,$100-115,"EOS software moat + AI networking WIDENER — hyperscaler-grade switching costs, 64% gross margins, zero debt, $12.35B net cash; accumulate at $100-115.",ANET_qv_report.html,2026-05-19
ANGELONE,Angel One Limited,NSE,353.2,B,WATCH★★★★,4,B+,B+,C+,B,🟢 WIDENER,74,3,Forming,0,7-10yr,₹290,₹220–250,"India's largest listed broker pivoting to full-stack fintech; 37M clients + ARQ Prime AI flywheel forming; SEBI F&O reform creating FY26 trough — recovery in FY27 as annuity revenues (wealth, credit, MF) cross 50% of income",ANGELONE_qv_report.html,2026-04-15
ANTHEM,Anthem Biosciences Ltd,NSE,788.05,B,WATCH★★★★,4,A-,B+,C+,A-,⚪ NEUTRAL,52,2,Cosmetic,0,5-7yr,₹518,₹450–520,"India's deepest-moated CRDMO — 6x fermentation capacity, FDA/EMA/WHO approvals, GLP-1/ADC/China+1 tailwinds, ROCE 30.4%; exceptional business at stretched 72.6x P/E — wait for ₹450–520 entry zone.",ANTHEM_qv_report.html,2026-05-29
ARMANFIN,Arman Financial Services Limited,NSE,1698,C,WATCH★★★,3,B-,C+,C+,B-,⚪ NEUTRAL,38,2,Feature,0,5-7yr,"₹1,272","₹1,100–1,200","MFI stress trough; MSME standalone growing 25%; price above MoS; watch for ₹1,100–1,200 entry",ARMANFIN_qv_report.html,2026-04-27
ARSSBL,Anand Rathi Share & Stock Brokers,NSE,558,C,WATCH★★,2,B-,C+,D+,C+,⚪ NEUTRAL,28,2,Cosmetic,0,5-7yr,₹640-680,₹490–570,Full-svc broker; forensic audit + negative ERP block BUY; wait for ₹183-220 + clean audit,ARSSBL_qv_report.html,2026-04-15
ASML,ASML Holdings N.V.,NASDAQ,1929.68,C,WATCH★★★★,4,A+,A,B-,A,🟢 WIDENER,75,3,Forming,0,7-10yr,"$1,050","$1,050–$1,200","EUV monopoly; sole AI hardware infrastructure enabler; 100% market share; entry $1,050–1,200 with 30% MoS to base IV",ASML_qv_report.html,2026-04-14
ATHERENERG,Ather Energy Ltd,NSE,973,B,WATCH★★★,3,B-,C+,C+,B+,🟢 WIDENER,62,2,Forming,0,5-7yr,₹960,₹700–800,Software-defined EV; EBITDA −3% converging to zero; AtherStack 91% attach; road data flywheel forming; 3× IPO but MoS thin at ₹911,ATHERENERG_qv_report.html,2026-04-13
AXON,Axon Enterprise Inc.,NASDAQ,423.4,B,WATCH★★★★,4,A-,B+,B+,A-,🟢 WIDENER,78,2,Forming,1,5-7yr,$412,$310-345,Public safety OS; $14.4B backlog + AI flywheel forming; 56% off ATH at compelling re-entry,AXON_qv_report.html,2026-05-08
AYE,Aye Finance Ltd,NSE,164.55,B,WATCH★★★★,4,B+,B,B+,B,🟢 WIDENER,66,2,Forming,1,5-7yr,₹197,₹130-145,IPO base breakout on PAT +111% YoY; AI cluster credit moat forming; 5 consecutive quarters of declining credit costs signal credit cycle inflection,AYE_qv_report.html,2026-04-28
BAJAJHFL,Bajaj Housing Finance,NSE,88.69,B,WATCH★★★,3,B+,B+,C+,B+,🟢 WIDENER,58,3,Forming,1,5-7yr,₹120,₹65-75,Elite HFC at 60% drawdown; ROE expansion 13%→17-19% as CAR normalises; RSI 22 capitulation; GNPA 0.27% sector best,bajajhfl_qv_report.html,2026-03-01
BANDHANBNK,Bandhan Bank,NSE,207.9,D,WATCH★★★,3,B-,C+,B,C+,🟢 WIDENER,45,3,Forming,1,5-7yr,₹200,₹140-147,Turnaround at 1.0x book; promoter overhang (Bandhan 2.0 executing); RBI-approved institutional buyers,bandhanbnk_qv_report.html,2026-03-01
BBOX,Black Box Limited,NSE,1023.7,D,WATCH★★★,3,B-,C+,D+,B-,🟢 WIDENER,58,3,Feature,0,5-7yr,₹500,₹350-385,AI DC tailwind; 51× P/E; await FCF proof & price correction to ₹350-385,BBOX_qv_report.html,2026-05-07
BCLIND,BCL Industries Ltd,NSE,37.3,C,WATCH★★★,3,C,C+,B,C+,⚪ NEUTRAL,35,0,Cosmetic,1,3-5yr,₹45,₹22–25,"E20 ethanol tailwind + FCF recovery thesis post 700KLPD expansion; cheap at P/E 7x P/B 0.96x but ROIC<WACC, rising debt, earnings quality SUSPECT — not quality enough yet",BCLIND_qv_report.html,2026-04-07
BELRISE,Belrise Industries Limited,NSE,240.24,C,WATCH★★★,3,B-,B-,B-,B,⚪ NEUTRAL,22,1,Cosmetic,0,3-5yr,₹200,₹140–165,Auto ancillary IPO; IPO debt-free pivot + EPS-accretive merger (8.3× PE) + nascent aerospace/defence optionality; ROIC at threshold improving,belrise_qv_report.html,2026-04-08
BHARTIARTL,Bharti Airtel Ltd,NSE,1906.9,C,WATCH★★★★,4,B+,B,B,A-,🟢 WIDENER,74,3,Forming,0,7-10yr,"₹2,300","₹1,650–1,840",India's AI infrastructure compounder — Nxtra data centres + ARPU expansion + duopoly pricing = multi-decade compounding with AI WIDENER uplift,BHARTIARTL_qv_report.html,2026-04-22
BLS,BLS International Services Ltd,NSE,269,C,WATCH★★★★,4,B+,B+,B+,B+,⚪ NEUTRAL,45,3,Cosmetic,2,3-5yr,₹388,₹264-280,Tech-enabled govt outsourcing monopoly in global visa services; 34% ROIC compounder at compelling 17x forward PE post-35% correction from ATH,bls_qv_report.html,2026-05-18
BSE,BSE Limited,NSE,4024.8,C,WATCH★★★,3,B+,B+,C+,B,🟢 WIDENER,67,3,Forming,0,7-10yr,"₹3,290","₹2,800–3,200",Regulated exchange duopoly on India's capital market deepening story; AI surveillance widening moat; StAR MF flywheel forming at 281M investors — exceptional business at all-time high with zero margin of safety,BSE_qv_report.html,2026-05-10
CCJ,Cameco Corporation,NYSE,106.49,C,WATCH★★★★,4,A-,B+,C+,A-,🟢 WIDENER,60,2,Cosmetic,0,7-10yr,$87,$82-95,World's best uranium reserves + 49% Westinghouse AP1000 stake; AI power demand structurally widens uranium TAM; await $82-95 for entry.,CCJ_qv_report.html,2026-06-12
CDSL,Central Depository Services (India) Limited,NSE,1370.30,C,PASS,0,A-,B+,D+,B+,NEUTRAL,56,2,Feature,0,7-10yr,₹503,₹352–₹403,"Regulated MII duopoly with genuine moat (A-) and pristine balance sheet, but trading 172% above blended owner-earnings IV amid live SEBI fee-cut headwinds and 3-quarter profit decline. Great business, no margin of safety.",CDSL_qv_report.html,2026-06-21
CEG,Constellation Energy Corporation,NASDAQ,274.06,C,WATCH★★★★,4,A-,B+,B,B+,🟢 WIDENER,72,4,Feature,0,5-7yr,$327-352,$255-272,America's largest nuclear fleet — sole 24/7 carbon-free + dispatchable power provider for AI hyperscalers; irreplaceable nuclear scarcity moat approaching MoS entry zone.,CEG_qv_report.html,2026-06-05
CEIGALL,Ceigall India Limited,NSE,372,C,WATCH★★★,3,B-,C,C+,B,⚪ NEUTRAL,20,1,COSMETIC,0,3-5yr,₹387,₹290–₹315,"₹18,554 Cr order book (4.6× revenue) + govt infra supercycle meet negative FCF (4 of 5 yrs), FY27 margin compression guidance (11–12.5%) and IPO-price drag; stock at Base IV with zero margin of safety — wait for ₹290–315 entry.",CEIGALL_qv_report.html,2026-06-22
CLEAN,Clean Science and Technology Ltd,NSE,786.95,C,WATCH★★★,3,A-,B+,B+,A-,⚪ NEUTRAL,28,1,Cosmetic,0,5-7yr,₹721,₹580–650,"Global #1 green catalytic chemistry compounder; ROIC dilution from capex cycle, not moat erosion; HALS + new products ramp in FY27-28 drives re-rating to ₹1,050+",CLEAN_qv_report.html,2026-04-23
CLEANMAX,CleanMax Enviro Energy Solutions,NSE,1372,C,WATCH,4,B+,B−,C+,B+,🟢 WIDENER,58,2,Forming,0,7-10yr,980,883,"CleanMax is a high-quality infrastructure compounder with exceptional revenue visibility (22.85-year PPAs), a powerful AI demand tailwind (42% DC/AI clients), and strong management (McKinsey pedigree + Brookfield governance). However, at CMP ₹1,120, the stock trades 27% above our base entry zone of ₹883. The thin profitability (PAT ₹86 Cr on ₹1,913 Cr revenue), high leverage (Net Debt/EBITDA 4.75x), and very high P/E (~154x) demand patience. The company is in a heavy investment phase — as capacity ramps and interest costs moderate post-deleveraging, earnings should accelerate significantly.",CLEANMAX_qv_report.html,2026-05-23
CMPDI,Central Mine Planning & Design Institute Ltd,NSE,251.48,C,WATCH★★★★,4,B+,A-,B+,B,⚪ NEUTRAL,43,1,Cosmetic,0,3-5yr,₹235,₹155-170,Knowledge monopolist — 61% mining consultancy market share; 50yr geological data moat; critical minerals pivot; IPO base breakout at ₹172,CMPDI_qv_report.html,2026-04-18
COFORGE,Coforge Limited,NSE,1468,C,WATCH★★★★,4,B-,B,B,B+,⚪ NEUTRAL,42,2,Cosmetic,2,3-5yr,"₹1,632","₹1,050–₹1,150","Fastest-growing mid-tier Indian IT; FY26 PAT +91.6%; margin inflection; $1.75B order book; wait for ₹1,050–1,150 entry.",coforge_qv_report.html,2026-05-10
CPPLUS,Aditya Infotech Ltd (CP Plus),NSE,3649,B,WATCH★★★★,4,B+,B,C+,B+,🟢 WIDENER,68,3,Forming,1,5-7yr,"₹1,518","₹1,500–1,600",India's #1 surveillance brand; STQC regulatory moat excludes Chinese brands from govt tenders; AI cameras via L&T+Qualcomm partnerships; 20% sector CAGR; rich valuation at ATH — wait for 20% correction,CPPLUS_qv_report.html,2026-04-17
CRM,"Salesforce, Inc.",NYSE,151.78,C,WATCH★★★,3,B+,B,B,B+,🟢 WIDENER,79,3,Forming,0,7-10yr,$261,$160-185,Agentforce flywheel forming; $14.4B FCF (+16%); $50B buyback floor; 31% discount to base IV; Phase 2→3 transition in enterprise AI agents,CRM_qv_report.html,2026-04-21
CRWD,CrowdStrike Holdings Inc.,NASDAQ,684.86,F,WATCH★★★★,4,A-,B+,C+,A-,🟢 WIDENER,82,3,Confirmed,0,5-7yr,$416,$315–355,Cat F AI-native cybersecurity; 1T events/day data flywheel CONFIRMED; $5.25B ARR +24%; R40=47; no MoS at $448; entry $315-355,CRWD_qv_report.html,2026-04-26
CRWV,"CoreWeave, Inc.",NASDAQ,89.24,B,WATCH★★,2,C+,D+,C+,C+,🌀 AI CORE,58,2,Feature,0,3-5yr,~$98,$70–79,"AI-era 'landlord' renting NVIDIA GPU capacity via a $99.4B contracted backlog; 69-74% gross margin but negative ROE/ROIC and Altman-Z distress-zone leverage on ~$35B debt; NVIDIA backstop de-risks downside through Apr 2032 but Meta's new in-house 'Meta Compute' cloud (announced Jul 1 '26) directly threatens the core rental model; Morningstar states no economic moat exists today; heavy sustained founder selling ($2.3B+) since Aug '25 lockup — WATCH, not BUY, until Financial Fortress or price improves.",CRWV_qv_report.html,2026-07-02
CUMMINSIND,Cummins India Ltd.,NSE,5860.5,C,WATCH★★★,3,A-,A-,D+,B+,🟢 WIDENER,65,3,Cosmetic,2,5-7yr,"~₹2,800","₹2,500–₹2,800",Level 1 AI infra play (data-centre power); excellent business; 60% above fair value at current price; negative ERP −5.2%,CUMMINSIND_qv_report.html,2026-04-10
CYIENT,Cyient Limited,NSE,859.8,C,WATCH★★★,3,B+,B-,B,B+,⚪ NEUTRAL,34,2,Cosmetic,0,3-5yr,"₹1,239 (DCF) / ₹1,064 (Blended)",₹720–870,"Domain ER&D moat at EPV floor; buyback at ₹1,125 signals mgmt conviction; needs 2Q margin recovery proof before BUY",CYIENT_qv_report.html,2026-04-29
DATAPATTNS,Data Patterns (India) Ltd,NSE,4818,C,WATCH★★★★,4,A-,B+,D+,B+,🟢 WIDENER,66,2,Forming,0,5-7yr,"₹2,050","₹1,900–2,300","India's premier defense electronics prime — AI WIDENER, forming flywheel; ATH price ₹4,077 = 100%+ premium to base IV ₹2,050; zero MoS; watch for ₹1,900–2,300 entry",DATAPATTNS_qv_report.html,2026-04-29
DELHIVERY,Delhivery Limited,NSE,472,D,WATCH★★★,3,B-,C+,C-,B+,🟢 WIDENER,58,2,FORMING,0,5-7yr,₹430,₹280–₹340,"Turnaround story with EBITDA doubling and maiden positive FCF, but a rich ~110x trailing P/E already prices in much of the recovery.",DELHIVERY_qv_report.html,2026-07-01
DIXON,Dixon Technologies (India) Ltd,NSE,12571,B,WATCH★★★,3,B+,B,C+,B+,⚪ NEUTRAL,50,2,Cosmetic,0,5-7yr,"₹10,927","₹8,500–9,500","India's EMS champion; priced at intrinsic value; PLI transition risk; China+1 tailwind; entry ₹8,500–9,500",DIXON_qv_report.html,2026-04-21
DUOL,Duolingo Inc.,NASDAQ,125.56,F,WATCH★★★★,4,B+,A,A-,B,🌀 AI CORE,68,3,Forming,0,5-7yr,$210–265,$85–100,AI CORE language leader; R40=77; 73% GM; $1.1B cash; flywheel forming; 80% below ATH,DUOL_qv_report.html,2026-05-08
E2E,E2E Networks Limited,India / NSE,426,F — AI-Native Emerging Leader,WATCH,★★,B-,C+,C-,B-,"🟢 WIDENER (mild, utilisation-led)",60/100,2→3,FORMING,1/5,3-5 years,₹267,₹200–₹215,"NVIDIA-backed, L&T-validated (~21% stake) Indian GPU neocloud riding a 50%+ CAGR sector tailwind and India's data-residency laws, but FY26 closed at a net loss on its own capex depreciation, ROE/ROCE are negative, promoter holding has nearly halved on dilution, and CMP already discounts close to our Acceleration-case scenario rather than Base case — real business, rich price.",E2E_qv_report.html,2026-06-21
ECLERX,eClerx Services Ltd.,NSE,1427,C,WATCH★★★★,4,B+,B+,B,B+,🟢 WIDENER,72,3,Forming,1,7-10yr,"₹2,050","₹1,450–1,740","Domain-depth KPO with irreplaceable client embedment and proprietary data assets, now leveraging Agentic AI to deepen its moat — available at a 33% discount to intrinsic value after a 38% stock correction.",ECLERX_qv_report.html,2026-05-25
EIEL,Enviro Infra Engineers Limited,NSE,220,D,WATCH★★★,3,B-,C+,B-,B-,⚪ NEUTRAL,36,1,COSMETIC,0,3-5yr,₹200,₹165–₹185,"₹6,814 Cr order book (6x FY26 revenue) with JJM 2.0 tailwind; wait for Q1 FY27 execution proof before entry — FY26 guidance miss (7.5% vs 35-40%), 3yr negative FCF, and 158-day WC cycle demand margin of safety first.",EIEL_qv_report.html,2026-06-28
EMMVEE,Emmvee Photovoltaic Power Ltd,NSE,332.75,B,BUY,5,B+,ACCEPTABLE,A,A-,NEUTRAL,25,0,COSMETIC,0,7-10yr,₹490,₹392,"High-growth integrated solar PV manufacturer riding India policy supercycle (BCD/ALMM/PLI). 116% revenue growth, 36.5% ROIC, 16.9x PE vs 30x+ peers. 9.4 GW order book, 80% promoter (0% pledge), net cash.",EMMVEE_qv_report.html,2026-05-23
FRACTAL,Fractal Analytics Limited,NSE,968,F,WATCH★★★,3,B+,B,B+,A-,🌀 AI CORE,65,2,Forming,2,5-7yr,"₹1,235",₹800–875,India's only listed pure-play enterprise AI —,FRACTAL_qv_report.html,2026-04-25
FTNT,Fortinet Inc,NASDAQ,144.73,C,WATCH★★★★,4,B+,A-,C+,A-,🟢 WIDENER,72,3,Forming,3,5-7yr,$77–84,$58–65,FortiASIC moat + forming AI flywheel (5.6M sensors); price near base IV — wait for 30% MoS entry at $58–65,FTNT_qv_report.html,2026-04-26
GEMAROMA,Gemaroma,NSE,176.75,B,WATCH★★★,3,B-,B,A-,B+,⚪ NEUTRAL,22,2,Feature,1,5-7yr,₹315,₹130-165,Specialty chemicals; Dahej greenfield inflection (₹270 Cr); 52% below IPO price; promoters buying aggressively,GEMAROMA_buffett_analysis.html,2026-03-01
GEV,GE Vernova LLC,NYSE,1109.73,C,WATCH★★★★,4,B+,B+,C+,B+,🟢 WIDENER,80,3,Cosmetic,0,3-5yr,"~$1,037 (AI-adj)",$850–940,AI data center electricity supercycle — gas turbines + grid electrification = picks & shovels of the AI era; $163B backlog growing to $200B by 2027,GEV_qv_report.html,2026-04-22
GOOGL,Alphabet Inc.,NASDAQ,368.03,C,WATCH★★★★,4,A,A,C+,B+,🟢 WIDENER,88,3,Confirmed,2,7-10yr,$390,$312-332,Full-stack AI leader; Cloud 63% growth; Gemini data flywheel confirmed; price at base IV — wait for 15–20% correction,GOOGL_qv_report.html,2026-05-03
GVT&D,GE Vernova T&D India Limited,NSE,5485,C,WATCH★★★,3,B+,A-,C-,B+,🟢 WIDENER,62,3,Feature,0,7-10yr,"₹2,256","₹1,800–₹2,600","India's grid backbone builder backed by GEV global tech, riding ₹9T T&D supercycle — exceptional business, priced for perfection at 107x",GVT&D_qv_report.html,2026-04-24
HBLENGINE,HBL Engineering Limited,NSE,815.95,C,WATCH★★★★,4,B+,B,B-,A-,⚪ NEUTRAL,35,2,Cosmetic,0,3-5yr,₹765,₹612–650,"India's quasi-monopoly Kavach ATP provider + debt-free global #2 Ni-Cad battery maker; trading at fair value, enter at ₹612–650 with 20% MoS",hblengine_qv_report.html,2026-05-27
HCLTECH,HCL Technologies Limited,NSE,1166.80,C,WATCH★★,2,B+,B+,C+,A-,🔴 THREAT,40,3,Feature,0,5-7yr,"₹1,013",₹710–₹760,Debt-free 35%+ ROIC IT compounder; 5-method valuation (DCF/OE-Cap/EPV/P/E/EY) puts Base IV ~1013 below current price 1167 -- not yet at MoS entry zone 710-760. AI deflation real.,HCLTECH_qv_report.html,2026-06-21
HDBFS,HDB Financial Services,NSE,719.7,C,WATCH★★★★,4,B+,B,B,B+,🟢 WIDENER,52,3,Forming,0,5-7yr,₹847,₹555-620,HDFC Bank-parented NBFC; NIM recovering to 8%+; credit cycle peaking; FINAI AI roadmap initiated; 22M customers in underbanked tier-3/4 India; rate cycle tailwind structural,HDBFS_qv_report.html,2026-04-16
HDFCBANK,HDFC Bank Limited,NSE,781,C,WATCH★★★★,4,A-,B+,B+,B+,🟢 WIDENER,82,3,Forming,0,7-10yr,₹998,₹750–825,Post-merger NIM compression trough; ROA recovering 1.94%; AI fraud flywheel forming on 50M+ monthly txns; P/B 2.28x vs justified 2.5–3.1x,HDFCBANK_qv_report.html,2026-04-19
HOOD,Robinhood Markets,NASDAQ,108.15,B,WATCH★★★★,4,B,A-,B,B+,🟢 WIDENER,67,3,Forming,2,5-7yr,$82,$60-65,"Commission-free fintech superapp with AI-driven Gold/Cortex ecosystem, 83% gross margin, $1.62B FCF; crypto cyclicality is key risk; entry below $65",HOOD_qv_report.html,2026-04-14
ICICIAMC,ICICI Prudential Asset Management Co Ltd,NSE,3525,C,WATCH★★★★,4,B+,A,C+,B+,🟢 WIDENER,63,3,Feature,0,7-10yr,"₹3,078","₹2,800–3,000",India financialisation toll-booth; largest active equity AMC; IPO position holder at ₹2165 — exit strategy framework in report,ICICIAMC_qv_report.html,2026-04-21
IEX,Indian Energy Exchange,NSE,123.2,C,WATCH★★★,3,B+,A-,B-,B,⚪ NEUTRAL,53,2,Cosmetic,0,5-7yr,₹143,₹105–115,Exchange monopoly ROIC >178%; market coupling = binary regulatory risk; entry ₹105-115; RTM +41% YoY structural growth,IEX_qv_report.html,2026-04-07
IGIL,International Gemmological Institute (India) Ltd,NSE,359.70,C,WATCH★★★★,4,A-,A-,B,B+,🟢 WIDENER,60,2,FORMING,0,7-10yr,₹300-320,₹280-330,"World's largest independent diamond/gem certification franchise (50% India, 33% global, 65% LGD share) with ~44% margins and debt-free balance sheet, riding India's jewellery formalization wave, but priced above blended intrinsic value with thin trading history.",IGIL_qv_report.html,2026-07-01
INDIGOPNTS,Indigo Paints,NSE,1020.95,C,WATCH★★★,3,B+,B+,C+,B+,⚪ NEUTRAL,34,4,Cosmetic,0,5-7yr,₹640,₹544–600,Category-creating challenger brand with genuine differentiation; Birla Opus disruption has stalled growth; buy only below ₹600 with 2-quarter growth recovery confirmation,INDIGOPNTS_qv_report.html,2026-04-09
INFY,Infosys Limited,NSE,1054.2,C,WATCH★★★,3,B,A-,C+,B+,🔴 THREAT,42,2,Feature,2,3-5yr,₹947,₹820–900,AI THREAT incumbent: record FCF & clean quality vs structural ADM deflation; buy only at ₹820–900 when ERP turns positive,INFY_qv_report.html,2026-05-11
IONEXCHANG,Ion Exchange (India) Limited,NSE,370,C,WATCH,3,B-,C,C-,B-,⚪ NEUTRAL,30,2,Feature,0,7-10yr,₹262,₹170–₹220,"Pioneer in India water & environment management (EPC + Chemicals + Consumer). Structural tailwind from Jal Jeevan Mission, AMRUT 2.0, ZLD mandates. FY26 margin collapse (EBITDA 7.2%) due to Roha plant ramp + GCC disruption. WATCH: Price ₹370 = 41% premium to base IV ₹262. Enter at ₹170-220 or on confirmed margin recovery (EBITDA >9.5% for 2 quarters).",IONEXCHANG_qv_report.html,2026-06-22
IONQ,IonQ,NASDAQ,56.55,F,WATCH★★,2,B-,D+,D,B-,⚪ NEUTRAL,28,1,Cosmetic,0,5-7yr,N/A,$15-17,Quantum not AI; no flywheel; R40 = -51; upgraded from PASS on commercial revenue crossing $100M; speculative optionality only,IonQ_buffett_analysis_v5.html,2026-03-01
IREN,Iris Energy Limited,NASDAQ,59.96,B,WATCH★★★★,4,B+,B-,C+,A-,🟢 WIDENER,50,2,Cosmetic,1,3-5yr,$70-78,$52-62,Converting power scarcity and anchor contracts ($13.1B MSFT+NVIDIA) into a multi-decade AI infrastructure moat at Level 1 of the AI value chain.,IREN_qv_report.html,2026-06-05
ITC,ITC Limited,NSE,293.9,C,WATCH★★★,3,A-,B+,B+,B+,⚪ NEUTRAL,32,2,Cosmetic,1,5-7yr,₹329,₹280,Cigarette monopoly; Feb 2026 excise shock; 80% market share intact; ₹280 = formal BUY trigger,ITC_buffett_analysis.html,2026-03-01
JARO,Jaro Institute of Technology Management and Research Ltd,NSE,519,B,WATCH★★★,3,B,B-,B+,B,⚪ NEUTRAL,38,3,Forming,1,5-7yr,₹676,₹375–420,India's only profitable self-funded EdTech with IIT/IIM exclusives; 50% IPO discount creates opportunity IF negative OCF reverses and growth reaccelerates to 25%+,JARO_qv_report.html,2026-04-19
